University,Country,City,Category,Overall_Score,Description,Language,Scholarship_Availability,Tuition_Fees_EUR_Per_Year,Website,Fields_of_Study,RANK_2025,QS_Rank_Numeric,Cluster
Sveučilište u Dubrovniku,Croatia,Dubrovnik,sveucilište,,"Sveučilište u Dubrovniku is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,2600,http://www.unidu.hr,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,5
Sveučilište Jurja Dobrile u Puli,Croatia,Pula,sveucilište,,"Sveučilište Jurja Dobrile u Puli is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,3200,http://www.unipu.hr,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,1
Sveučilište Josipa Jurja Strossmayera u Osijeku,Croatia,Osijek,sveucilište,,"Sveučilište Josipa Jurja Strossmayera u Osijeku is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,3000,http://www.unios.hr,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,1
Ακαδημίες Εμπορικού Ναυτικού Κρήτης,Greece,Chania,ΑΚΑΔΗΜΙΑ ΕΜΠΟΡΙΚΟΥ ΝΑΥΤΙΚΟΥ,,"Ακαδημίες Εμπορικού Ναυτικού Κρήτης is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Greek / English,Yes,1800,http://aen-kritis.chan.sch.gr/,Services,Not Ranked,9999,4
Ακαδημίες Εμπορικού Ναυτικού Ηπείρου,Greece,Preveza,ΑΚΑΔΗΜΙΑ ΕΜΠΟΡΙΚΟΥ ΝΑΥΤΙΚΟΥ,,"Ακαδημίες Εμπορικού Ναυτικού Ηπείρου is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Greek / English,Yes,2000,m,Services,Not Ranked,9999,4
Ακαδημίες Εμπορικού Ναυτικού Χίου,Greece,Chios,ΑΚΑΔΗΜΙΑ ΕΜΠΟΡΙΚΟΥ ΝΑΥΤΙΚΟΥ,,"Ακαδημίες Εμπορικού Ναυτικού Χίου is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Greek / English,Yes,3200,http://aenmchiou.webnode.gr/,Services,Not Ranked,9999,4
Ανωτατη Εκκλησιαστικη Ακαδημια Αθηνων,Greece,Kifisià,ΑΝΩΤΑΤΗ ΕΚΚΛΗΣΙΑΣΤΙΚΗ ΑΚΑΔΗΜΙΑ,,"Ανωτατη Εκκλησιαστικη Ακαδημια Αθηνων is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Greek / English,Yes,1900,http://www.aeaa.gr/,Arts & Humanities,Not Ranked,9999,4
Ανωτατη Εκκλησιαστικη Ακαδημια Θεσσαλονικης,Greece,Thessaloniki,ΑΝΩΤΑΤΗ ΕΚΚΛΗΣΙΑΣΤΙΚΗ ΑΚΑΔΗΜΙΑ,,"Ανωτατη Εκκλησιαστικη Ακαδημια Θεσσαλονικης is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Greek / English,Yes,5800,http://erasmus.aeath.gr/index.php/en/,Arts & Humanities,Not Ranked,9999,4
Ανωτατη Εκκλησιαστικη Ακαδημια Βελλας Ιωαννινων,Greece,Kalpaki,ΑΝΩΤΑΤΗ ΕΚΚΛΗΣΙΑΣΤΙΚΗ ΑΚΑΔΗΜΙΑ,,"Ανωτατη Εκκλησιαστικη Ακαδημια Βελλας Ιωαννινων is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Greek / English,Yes,4500,http://www.aeavellas.gr/main/el/index.php,Arts & Humanities,Not Ranked,9999,4
ΠΑΤΡΙΑΡΧΙΚΗ ΑΝΩΤΑΤΗ ΕΚΚΛΗΣΙΑΣΤΙΚΗ ΑΚΑΔΗΜΙΑ ΚΡΗΤΗΣ,Greece,Heraklion,ΑΝΩΤΑΤΗ ΕΚΚΛΗΣΙΑΣΤΙΚΗ ΑΚΑΔΗΜΙΑ,,"ΠΑΤΡΙΑΡΧΙΚΗ ΑΝΩΤΑΤΗ ΕΚΚΛΗΣΙΑΣΤΙΚΗ ΑΚΑΔΗΜΙΑ ΚΡΗΤΗΣ is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Greek / English,Yes,5100,http://www.aeahk.gr/,Arts & Humanities,Not Ranked,9999,4
Στρατιωτικες Σχολες Ευελπίδων,Greece,Kitsi,ΣΤΡΑΤΙΩΤΙΚΕΣ ΣΧΟΛΕΣ,,"Στρατιωτικες Σχολες Ευελπίδων is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Greek / English,Yes,7900,https://sse.army.gr/en,Services,Not Ranked,9999,4
Trinity College Dublin,Ireland,Dublin,University,,"Trinity College Dublin is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,10300,http://www.tcd.ie,"Arts & Humanities, Natural Sciences, Mathematics, Statistics, ICT, Health & Welfare",Not Ranked,9999,0
Athlone Institute of Technology,Ireland,Athlone,Institute of Technology,,"Athlone Institute of Technology is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,15500,http://www.ait.ie,"Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Agriculture, Veterinary, Health & Welfare, Services",Not Ranked,9999,4
"Dún Laoghaire Institute of Art, Design and Technology",Ireland,Dún Laoghaire,Institute of Technology,,"Dún Laoghaire Institute of Art, Design and Technology is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,11900,http://www.iadt.ie,"Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics",Not Ranked,9999,3
Dundalk Institute of Technology,Ireland,Dundalk,Institute of Technology,,"Dundalk Institute of Technology is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,22300,http://www.dkit.ie,"Education, Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Agriculture, Veterinary, Health & Welfare, Services",Not Ranked,9999,5
Galway-Mayo Institute of Technology,Ireland,Galway,Institute of Technology,,"Galway-Mayo Institute of Technology is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,16700,http://www.gmit.ie,"Education, Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Agriculture, Veterinary, Health & Welfare, Services",Not Ranked,9999,0
Libertas Međunarodno Sveučilište,Croatia,Zagreb,sveucilište,,"Libertas Međunarodno Sveučilište is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,3300,http://www.libertas.hr/?lang=en,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,1
Sveučilište u Slavonskom Brodu,Croatia,Slavonski Brod,sveucilište,,"Sveučilište u Slavonskom Brodu is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,3100,https://www.unisb.hr/english/,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,5
Veleučilište Hrvatsko zagorje u Krapini,Croatia,Krapina,Veleucilište,,"Veleučilište Hrvatsko zagorje u Krapini is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,3700,http://www.vhzk.hr/,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,1
"Visoka škola za menadžment i dizajn ""Aspira""",Croatia,Split,Visoka škola,,"Visoka škola za menadžment i dizajn ""Aspira"" is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,3000,https://www.aspira.hr/en/,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,1
Europska poslovna škola Zagreb,Croatia,Zagreb,Visoka škola,,"Europska poslovna škola Zagreb is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,3600,http://ebus.hr,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,1
"National University of Ireland, Galway",Ireland,Galway,University,,"National University of Ireland, Galway is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,11300,http://www.nuigalway.ie,"Education, Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Health & Welfare",Not Ranked,9999,0
"Zagrebacka škola ekonomije i managementa, Zagreb",Croatia,Zagreb,Visoka škola,,"Zagrebacka škola ekonomije i managementa, Zagreb is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,2800,http://www.zsem.hr,"Business, Administration, Law",Not Ranked,9999,1
Istarsko veleučilište,Croatia,Pula,Veleucilište,,"Istarsko veleučilište is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,4700,http://www.politehnika-pula.hr,"Engineering, Manufacturing, Construction",Not Ranked,9999,1
Poslovno veleučilište Zagreb,Croatia,Zagreb,Veleucilište,,"Poslovno veleučilište Zagreb is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,2000,https://www.pvzg.hr,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,1
Visoko učilište Algebra,Croatia,Zagreb,Visoka škola,,"Visoko učilište Algebra is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,3100,http://www.algebra.hr,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,1
EFFECTUS poduzetnički studij - visoko učilište,Croatia,Zagreb,Visoka škola,,"EFFECTUS poduzetnički studij - visoko učilište is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,3600,http://www.effectus-uciliste.eu,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,1
"Sveučilište Sjever, Koprivnica",Croatia,Koprivnica,sveucilište,,"Sveučilište Sjever, Koprivnica is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,4000,http://www.unin.hr,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,5
Edwards Bernays - Visoka škola za komunikacijski menadžment,Croatia,Zagreb,Visoka škola,,"Edwards Bernays - Visoka škola za komunikacijski menadžment is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,3400,http://www.bernays.hr,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,1
"Hrvatsko katoličko sveučilište, Zagreb",Croatia,Zagreb,sveucilište,,"Hrvatsko katoličko sveučilište, Zagreb is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,3000,http://www.unicath.hr/,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,5
Policijska akademija Visoka policijska škola,Croatia,Zagreb,Visoka škola,,"Policijska akademija Visoka policijska škola is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,3900,https://policijska-akademija.gov.hr,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,1
Visoko gospodarsko učilište u Križevcima,Croatia,Križevci,Visoka škola,,"Visoko gospodarsko učilište u Križevcima is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,5000,http://www.vguk.hr,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,1
Veleučilište u Virovitici,Croatia,Virovitica,Visoka škola,,"Veleučilište u Virovitici is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,4700,http://www.vsmti.hr,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,1
RIT Croatia,Croatia,Dubrovnik,Visoka škola,,"RIT Croatia is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,4700,http://www.croatia.rit.edu/,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,1
"Visoka škola za informacijske tehnologije, Zagreb",Croatia,Zagreb,Visoka škola,,"Visoka škola za informacijske tehnologije, Zagreb is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,4900,http://www.vsite.hr,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,1
Veleučilište s pravom javnosti BALTAZAR ZAPREŠIĆ,Croatia,Zaprešić,Visoka škola,,"Veleučilište s pravom javnosti BALTAZAR ZAPREŠIĆ is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,3900,https://www.bak.hr/en,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,1
"Visoka škola za sigurnost, Zagreb",Croatia,Zagreb,Visoka škola,,"Visoka škola za sigurnost, Zagreb is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,4600,http://www.vss.hr,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,1
Veleučilište u Bjelovaru,Croatia,Bjelovar,Veleucilište,,"Veleučilište u Bjelovaru is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,4400,https://vub.hr/en/,Applied Sciences (multidisciplinary professional/vocational programmes),Not Ranked,9999,1
"Università Telematica ""GIUSTINO FORTUNATO""",Italy,Benevento,Universtià telematica,,"Università Telematica ""GIUSTINO FORTUNATO"" is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,4300,http://www.unifortunato.eu,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
Università degli Studi di BERGAMO,Italy,Bergamo,Università,,"Università degli Studi di BERGAMO is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,1100,http://www.unibg.it,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
Università degli Studi di BOLOGNA,Italy,Bologna,Università,,"Università degli Studi di BOLOGNA is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,4500,http://www.unibo.it/,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
Libera Università di BOLZANO,Italy,Bolzano,Università,,"Libera Università di BOLZANO is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,1200,http://www.unibz.it,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,2
Università degli Studi di SCIENZE GASTRONOMICHE,Italy,Pollenzo,Università,,"Università degli Studi di SCIENZE GASTRONOMICHE is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,3400,http://www.unisg.it,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
Università degli Studi di BRESCIA,Italy,Brescia,Università,,"Università degli Studi di BRESCIA is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,3200,http://www.unibs.it,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
Università degli Studi di CAGLIARI,Italy,Cagliari,Università,,"Università degli Studi di CAGLIARI is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,2000,http://www.unica.it,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
Università degli Studi di CAMERINO,Italy,Camerino,Università,,"Università degli Studi di CAMERINO is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,4700,http://www.unicam.it,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
Háskólinn á Akureyri,Iceland,Akureyri,Opinber háskóli,,"Háskólinn á Akureyri is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,7200,http://english.unak.is/,"Education, Natural Sciences, Mathematics, Statistics",Not Ranked,9999,1
Háskóli Íslands,Iceland,Reykjavík,Opinber háskóli,,"Háskóli Íslands is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,5000,http://www.hi.is,"Education, Arts & Humanities, Social Sciences, Journalism, Information",Not Ranked,9999,1
Università Politecnica delle MARCHE,Italy,Ancona,Università,,"Università Politecnica delle MARCHE is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,5000,http://www.univpm.it,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
Università della VALLE D'AOSTA,Italy,Aosta,Università,,"Università della VALLE D'AOSTA is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,1000,http://www.univda.it,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
Università della CALABRIA,Italy,Arcavacata Di Rende,Università,,"Università della CALABRIA is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,2700,http://www.unical.it,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
Politecnico di BARI,Italy,Bari,Politecnico,,"Politecnico di BARI is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,2800,http://www.poliba.it,"Engineering, Manufacturing, Construction",Not Ranked,9999,4
Università degli Studi di BARI ALDO MORO,Italy,Bari,Università,,"Università degli Studi di BARI ALDO MORO is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,3100,http://www.uniba.it,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
Università degli Studi del SANNIO di BENEVENTO,Italy,Benevento,Università,,"Università degli Studi del SANNIO di BENEVENTO is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,1600,http://www.unisannio.it,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
"St. Angela's College, Sligo",Ireland,Sligo,College,,"St. Angela's College, Sligo is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,20300,http://www.stangelas.nuigalway.ie,"Education, Arts & Humanities, Engineering, Manufacturing, Construction, Health & Welfare",Not Ranked,9999,0
Munster Technological University,Ireland,Cork,Technological University,,"Munster Technological University is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,15700,https://www.mtu.ie/,"Arts & Humanities, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Health & Welfare, Services",Not Ranked,9999,0
Landbúnaðarháskóli íslands,Iceland,Hvanneyri,Opinber háskóli,,"Landbúnaðarháskóli íslands is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,6000,http://www.lbhi.is/study_aui,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,5
Háskólinn á Bifröst,Iceland,Bifröst,Einkaháskóli,,"Háskólinn á Bifröst is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,11600,http://www.bifrost.is,"Business, Administration, Law",Not Ranked,9999,5
Háskólinn á Hólum,Iceland,Sauðárkrókur,Opinber háskóli,,"Háskólinn á Hólum is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,5400,http://www.holar.is/en/english,"Agriculture, Veterinary",Not Ranked,9999,1
Listaháskóli Íslands,Iceland,Reykjavík,Einkaháskóli,,"Listaháskóli Íslands is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,5100,https://www.lhi.is,Arts & Humanities,Not Ranked,9999,5
Háskólinn í Reykjavík,Iceland,Reykjavík,Einkaháskóli,,"Háskólinn í Reykjavík is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Local Language / English,Yes,7000,http://en.ru.is/,"Business, Administration, Law, ICT, Engineering, Manufacturing, Construction",Not Ranked,9999,1
"Institute of Technology, Carlow",Ireland,Carlow,Institute of Technology,,"Institute of Technology, Carlow is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,15100,http://www.itcarlow.ie,"Education, Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Agriculture, Veterinary, Health & Welfare, Services",Not Ranked,9999,0
"Institute of Technology, Sligo",Ireland,Sligo,Institute of Technology,,"Institute of Technology, Sligo is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,14800,http://www.itsligo.ie,"Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Agriculture, Veterinary, Health & Welfare, Services",Not Ranked,9999,0
Letterkenny Institute of Technology,Ireland,Letterkenny,Institute of Technology,,"Letterkenny Institute of Technology is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,19600,http://www.lyit.ie,"Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Agriculture, Veterinary, Health & Welfare, Services",Not Ranked,9999,3
Limerick Institute of Technology,Ireland,Limerick,Institute of Technology,,"Limerick Institute of Technology is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,11800,http://www.lit.ie,"Education, Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Health & Welfare, Services",Not Ranked,9999,0
Waterford Institute of Technology,Ireland,Waterford,Institute of Technology,,"Waterford Institute of Technology is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,24000,http://www.wit.ie,"Education, Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law, Natural Sciences, Mathematics, Statistics, ICT, Engineering, Manufacturing, Construction, Agriculture, Veterinary, Health & Welfare, Services",Not Ranked,9999,0
"Mary Immaculate College of Education, Limerick",Ireland,Limerick,College,,"Mary Immaculate College of Education, Limerick is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,10100,http://www.mic.ul.ie,"Education, Arts & Humanities, Social Sciences, Journalism, Information, Business, Administration, Law",Not Ranked,9999,0
"National College of Art & Design, Dublin",Ireland,Dublin,College,,"National College of Art & Design, Dublin is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,11600,http://www.ncad.ie,"Education, Arts & Humanities",Not Ranked,9999,0
RCSI University of Medicine and Health Sciences,Ireland,Dublin,College,,"RCSI University of Medicine and Health Sciences is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",English,Partial,18200,http://www.rcsi.ie,Health & Welfare,Not Ranked,9999,0
Università degli Studi di MILANO-BICOCCA,Italy,Milano,Università,,"Università degli Studi di MILANO-BICOCCA is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,1000,http://www.unimib.it,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
Università Telematica San Raffaele Roma,Italy,Rome,Universtià telematica,,"Università Telematica San Raffaele Roma is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,3500,https://www.uniroma5.it/english,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
Università degli Studi di MODENA e REGGIO EMILIA,Italy,Modena,Università,,"Università degli Studi di MODENA e REGGIO EMILIA is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,2100,https://www.unimore.it,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
Università degli Studi Suor Orsola Benincasa - NAPOLI,Italy,Naples,Università,,"Università degli Studi Suor Orsola Benincasa - NAPOLI is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,4300,http://www.unisob.na.it,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
Università degli Studi della Campania Luigi Vanvitelli,Italy,Caserta,Università,,"Università degli Studi della Campania Luigi Vanvitelli is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,5000,http://www.unina2.it,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
"Università degli Studi di NAPOLI ""Federico II""",Italy,Naples,Università,,"Università degli Studi di NAPOLI ""Federico II"" is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,2700,http://www.unina.it,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
"Università degli Studi di NAPOLI ""L'Orientale""",Italy,Naples,Università,,"Università degli Studi di NAPOLI ""L'Orientale"" is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,3200,http://www.unior.it/,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
"Università degli Studi di NAPOLI ""Parthenope""",Italy,Naples,Università,,"Università degli Studi di NAPOLI ""Parthenope"" is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,2700,http://www.uniparthenope.it,Arts & Humanities,Not Ranked,9999,4
Università degli Studi di MACERATA,Italy,Macerata,Università,,"Università degli Studi di MACERATA is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,2400,http://www.unimc.it,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
Università degli Studi di MESSINA,Italy,Messina,Università,,"Università degli Studi di MESSINA is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,1500,http://www.unime.it,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
Libera Università di lingue e comunicazione IULM-MI,Italy,Milano,Università,,"Libera Università di lingue e comunicazione IULM-MI is a reputable European university offering internationally recognized programs, research excellence, modern learning facilities, and strong opportunities for international students.",Italian / English,Yes,4300,http://www.iulm.it,Multidisciplinary (comprehensive university; covers multiple ISCED-F fields),Not Ranked,9999,4
